Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Arizona,2014,Nick Johnson,38,33,16.3,4.1,2.8,1.1,0.7,1.7,0.432,0.781,0.367,SG,Y,75,200,0.594207334,0.754378321,0.732305506,0.377964473,1.185956789,0.621369766,-0.33341791,-0.1993901,0.112375008,2.603009656
Duke,2015,Jahlil Okafor,38,30.1,17.3,8.5,1.3,0.8,1.4,2.5,0.664,0.51,0,C,Y,83,275,1.091959473,1.297747735,0.044437862,0.337099931,-0.028513297,1.833157144,1.679895781,-1.08550007,-0.706202584,2.58947034
Texas,2011,Tristan Thompson,36,30.9,13.1,7.8,1.3,0.9,2.4,1.8,0.546,0.487,0,C,Y,81,238,0.338497839,-0.309220843,1.308535116,1.1,0.393286931,0.495433694,0.21151601,-0.475992687,-0.5,2.547181359
Duke,2014,Jabari Parker,35,30.7,19.1,8.7,1.2,1.1,1.2,2.3,0.473,0.748,0.358,SF,Y,80,240,1.206666818,1.248482002,-0.526560296,0.129099445,1.140965294,0.865513417,-0.455769568,0.159864961,0.491664497,2.528899736
Virginia,2014,Malcolm Brogdon,37,31.4,12.7,5.4,2.7,1.2,0.1,1.4,0.413,0.875,0.37,G,N,77,215,0.94468845,1.437488853,-0.269762044,0.156770636,-0.482555925,0.028025171,-0.526389464,1.393872996,-0.13398862,2.492099711
Michigan State,2013,Adreian Payne,36,25.6,10.5,7.6,0.8,0.8,1.3,1.8,0.546,0.848,0.381,PF,Y,82,245,-0.734267127,0.3162359,-0.845540965,0.207019668,0.36147202,0.083691288,0.652041223,1.508714691,1.045986848,2.427970971
Texas,2011,Jordan Hamilton,36,32.2,18.6,7.7,2.1,0.9,0.6,2.1,0.44,0.779,0.385,SG,Y,79,220,2.068661644,1.888502225,0.348866477,-0.130984208,0.270030862,1.879074687,-0.263453946,0.399630982,-0.322070114,2.380109234
Kentucky,2011,Terrence Jones,38,31.5,15.7,8.8,1.6,1.1,1.9,2,0.442,0.646,0.329,PF,N,81,255,0.885523846,0.549594196,0.386159261,1.55417468,1.118322849,0.733477049,-2.042979419,-0.054377906,0.691192865,2.354133324
Notre Dame,2015,Jerian Grant,38,37.1,16.5,3,6.7,1.7,0.5,2.2,0.478,0.78,0.316,PG,Y,77,205,1.085096358,0.15249857,0.890798668,0.832050294,1.120897077,1,1.064778487,-0.674820283,-1.153064212,2.31823496
Notre Dame,2015,Steve Vasturia,38,32.5,10.1,3,1.7,1.1,0.1,1.2,0.491,0.864,0.411,G,N,77,211,0.265141165,0.031601665,-0.763380807,0.191550084,-0.78336663,-0.226683547,1.10896095,1.345994314,0.686201924,2.309386212
Virginia,2015,Malcolm Brogdon,34,32.5,14,3.9,2.4,0.7,0.4,1.7,0.422,0.879,0.344,G,N,77,215,1.774296014,0.991502247,-0.246251873,-0.793564635,1.082889165,0.793392413,-0.466930926,1.554695576,-0.811191659,2.292051495
